Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_normal_Accuracy_Percent	google_gemini-2.0-flash-lite-001_normal_Unparsable_Percent	google_gemini-2.0-flash-lite-001_normal_Model_Error_Percent	google_gemini-2.0-flash-lite-001_normal_Total_Time_s	google_gemini-2.0-flash-lite-001_normal_Total_Price	google_gemini-2.0-flash-lite-001_to_Accuracy_Percent	google_gemini-2.0-flash-lite-001_to_Unparsable_Percent	google_gemini-2.0-flash-lite-001_to_Model_Error_Percent	google_gemini-2.0-flash-lite-001_to_Total_Time_s	google_gemini-2.0-flash-lite-001_to_Total_Price	aggregate-gpt-4o_normal_Accuracy_Percent	aggregate-gpt-4o_normal_Unparsable_Percent	aggregate-gpt-4o_normal_Model_Error_Percent	aggregate-gpt-4o_normal_Total_Time_s	aggregate-gpt-4o_normal_Total_Price	aggregate-gpt-4o_to_Accuracy_Percent	aggregate-gpt-4o_to_Unparsable_Percent	aggregate-gpt-4o_to_Model_Error_Percent	aggregate-gpt-4o_to_Total_Time_s	aggregate-gpt-4o_to_Total_Price	google_gemini-2.5-flash-lite_normal_Accuracy_Percent	google_gemini-2.5-flash-lite_normal_Unparsable_Percent	google_gemini-2.5-flash-lite_normal_Model_Error_Percent	google_gemini-2.5-flash-lite_normal_Total_Time_s	google_gemini-2.5-flash-lite_normal_Total_Price	google_gemini-2.5-flash-lite_to_Accuracy_Percent	google_gemini-2.5-flash-lite_to_Unparsable_Percent	google_gemini-2.5-flash-lite_to_Model_Error_Percent	google_gemini-2.5-flash-lite_to_Total_Time_s	google_gemini-2.5-flash-lite_to_Total_Price	aggregate-mistral_normal_Accuracy_Percent	aggregate-mistral_normal_Unparsable_Percent	aggregate-mistral_normal_Model_Error_Percent	aggregate-mistral_normal_Total_Time_s	aggregate-mistral_normal_Total_Price	aggregate-mistral_to_Accuracy_Percent	aggregate-mistral_to_Unparsable_Percent	aggregate-mistral_to_Model_Error_Percent	aggregate-mistral_to_Total_Time_s	aggregate-mistral_to_Total_Price	aggregate-gpt-5_normal_Accuracy_Percent	aggregate-gpt-5_normal_Unparsable_Percent	aggregate-gpt-5_normal_Model_Error_Percent	aggregate-gpt-5_normal_Total_Time_s	aggregate-gpt-5_normal_Total_Price	aggregate-gpt-5_to_Accuracy_Percent	aggregate-gpt-5_to_Unparsable_Percent	aggregate-gpt-5_to_Model_Error_Percent	aggregate-gpt-5_to_Total_Time_s	aggregate-gpt-5_to_Total_Price	xiaomi_mimo-v2-omni_to_Accuracy_Percent	xiaomi_mimo-v2-omni_to_Unparsable_Percent	xiaomi_mimo-v2-omni_to_Model_Error_Percent	xiaomi_mimo-v2-omni_to_Total_Time_s	xiaomi_mimo-v2-omni_to_Total_Price	google_gemini-3.1-flash-lite-preview_normal_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_normal_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_normal_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_normal_Total_Time_s	google_gemini-3.1-flash-lite-preview_normal_Total_Price	google_gemini-3.1-flash-lite-preview_to_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_to_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_to_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_to_Total_Time_s	google_gemini-3.1-flash-lite-preview_to_Total_Price
skill	chord recognition	78	42.31	0.0	0.0	217.84	0.055998	30.77	24.07	0.0	242.12	0.008261	34.62	3.92	0.0	805.98	1.986968	12.82	35.29	39.71	864.37	0.14886	32.05	1.89	0.0	1769.4	0.213195	34.62	0.0	0.0	661.11	0.054811	39.74	0.0	0.0	625.74	0.166721	42.31	0.0	0.0	283.21	0.005911	32.05	7.55	0.0	1669.82	1.583803	5.13	44.59	36.49	1268.55	0.167862	21.79	0.0	0.0	1208.44	0.333297	53.85	0.0	0.0	433.98	0.229526	24.36	0.0	0.0	263.31	0.043029
skill	interval recognition	40	20.0	0.0	0.0	109.37	0.027164	7.5	27.03	0.0	99.03	0.003261	15.0	0.0	0.0	306.42	0.877243	7.5	29.73	32.43	360.54	0.07677	17.5	0.0	0.0	733.16	0.096125	22.5	0.0	0.0	225.5	0.019312	25.0	0.0	0.0	234.74	0.06526	25.0	0.0	0.0	111.89	0.002369	20.0	21.88	0.0	825.83	0.744907	10.0	47.22	33.33	675.65	0.074314	30.0	0.0	0.0	589.15	0.15469	15.0	2.94	0.0	175.69	0.105626	7.5	0.0	0.0	123.71	0.022755
skill	interval statistics	36	58.33	0.0	0.0	169.31	0.026162	44.44	0.0	0.0	110.16	0.002977	72.22	10.0	0.0	286.9	0.92052	13.89	35.48	38.71	383.72	0.054965	47.22	0.0	0.0	932.29	0.124685	25.0	0.0	0.0	270.95	0.023184	55.56	0.0	0.0	201.7	0.081297	50.0	0.0	0.0	105.43	0.00221	50.0	11.11	0.0	1275.57	0.768928	16.67	43.33	40.0	667.58	0.102777	44.44	0.0	0.0	579.31	0.149419	83.33	0.0	0.0	142.76	0.111809	55.56	0.0	0.0	140.0	0.016127
skill	note length	72	22.22	0.0	0.0	326.86	0.053497	30.56	8.0	0.0	375.96	0.006567	18.06	0.0	0.0	679.89	1.867323	5.56	39.71	36.76	773.85	0.109937	20.83	0.0	0.0	847.17	0.139038	25.0	0.0	0.0	253.38	0.018055	33.33	0.0	0.0	499.25	0.16593	37.5	0.0	0.0	203.2	0.003928	26.39	11.32	0.0	1209.13	1.43466	8.33	36.36	37.88	1167.74	0.118815	19.44	0.0	0.0	923.16	0.236619	18.06	0.0	0.0	267.17	0.21516	25.0	0.0	0.0	209.02	0.034827
skill	pitch recognition	38	26.32	0.0	0.0	105.35	0.029202	28.95	0.0	0.0	91.18	0.002888	26.32	0.0	0.0	300.39	0.971445	5.26	0.0	33.33	367.59	0.059152	28.95	0.0	0.0	378.11	0.068593	13.16	0.0	0.0	154.46	0.012611	31.58	0.0	0.0	252.51	0.08223	23.68	0.0	0.0	99.56	0.001814	23.68	0.0	0.0	638.48	0.774767	5.26	0.0	33.33	622.64	0.066075	18.42	0.0	0.0	529.17	0.136794	34.21	0.0	0.0	178.07	0.115425	23.68	0.0	0.0	91.5	0.016934
skill	pitch statistics	36	38.89	0.0	0.0	101.39	0.032108	33.33	0.0	0.0	87.74	0.002867	55.56	0.0	0.0	307.61	1.086658	11.11	15.62	37.5	353.14	0.05775	50.0	0.0	0.0	429.17	0.078261	13.89	0.0	0.0	85.59	0.006438	36.11	0.0	0.0	615.04	0.104135	16.67	3.33	0.0	102.24	0.001821	58.33	13.33	0.0	624.06	0.859339	16.67	16.67	40.0	576.22	0.059554	25.0	0.0	0.0	557.19	0.141627	55.56	0.0	0.0	156.75	0.127617	41.67	0.0	0.0	108.63	0.017173
skill	rhythm pattern	37	13.51	0.0	0.0	123.27	0.028052	8.11	0.0	0.0	112.22	0.003864	8.11	5.88	0.0	328.83	0.918925	8.11	26.47	32.35	409.65	0.070433	5.41	0.0	0.0	419.15	0.07248	18.92	0.0	0.0	305.06	0.028821	8.11	0.0	0.0	164.82	0.070139	8.11	0.0	0.0	133.59	0.002366	10.81	3.03	0.0	628.34	0.756684	5.41	11.43	31.43	603.19	0.068553	24.32	0.0	0.0	916.08	0.258703	2.7	0.0	0.0	200.8	0.108487	2.7	0.0	0.0	132.96	0.020769
skill	time signature	37	59.46	0.0	0.0	81.88	0.023745	43.24	0.0	0.0	91.72	0.002934	59.46	0.0	0.0	259.19	0.843928	16.22	35.48	45.16	447.79	0.060377	62.16	0.0	0.0	298.01	0.051986	40.54	0.0	0.0	97.82	0.006236	59.46	0.0	0.0	190.31	0.080047	37.84	0.0	0.0	78.53	0.002279	51.35	33.33	0.0	389.63	0.630366	8.11	38.24	41.18	482.87	0.051463	27.03	0.0	0.0	379.02	0.093389	59.46	0.0	0.0	141.46	0.090327	40.54	4.55	0.0	83.68	0.011814
skill	tonality recognition	37	51.35	0.0	0.0	87.53	0.022782	40.54	4.55	0.0	137.72	0.004135	37.84	0.0	0.0	262.28	0.787245	5.41	37.14	34.29	445.66	0.070198	32.43	0.0	0.0	184.71	0.039672	43.24	0.0	0.0	188.93	0.017099	24.32	0.0	0.0	175.86	0.067912	29.73	0.0	0.0	176.36	0.002771	35.14	25.0	0.0	564.64	0.626099	8.11	44.12	35.29	505.09	0.05525	24.32	0.0	0.0	485.26	0.130493	51.35	0.0	0.0	150.18	0.088124	29.73	0.0	0.0	139.19	0.016452
rel/abs	absolute	224	32.59	0.0	0.0	751.43	0.170806	30.8	10.97	0.0	797.0	0.020582	31.25	1.3	0.0	2093.88	5.912392	8.93	27.45	37.25	2358.95	0.3757	30.8	0.65	0.0	3423.85	0.499086	24.55	0.0	0.0	1154.54	0.091915	35.71	0.0	0.0	1992.55	0.519017	33.48	0.67	0.0	688.21	0.013474	33.04	8.0	0.0	4141.49	4.65257	8.04	30.1	36.89	3635.14	0.412307	20.98	0.0	0.0	3217.96	0.848338	39.29	0.0	0.0	1035.97	0.687729	27.23	0.0	0.0	672.46	0.111963
rel/abs	relative	223	34.98	0.0	0.0	673.37	0.15205	24.66	14.29	0.0	638.19	0.01997	34.08	2.72	0.0	1839.7	5.188705	10.31	34.5	36.5	2397.76	0.389642	29.15	0.0	0.0	3623.58	0.506247	28.7	0.0	0.0	1434.9	0.124015	31.39	0.0	0.0	1174.98	0.433843	28.25	0.0	0.0	714.32	0.014239	32.74	14.67	0.0	4442.29	4.198906	8.97	37.93	35.96	3455.35	0.409664	28.7	0.0	0.0	3556.09	0.940745	37.22	0.71	0.0	992.44	0.603812	26.46	0.61	0.0	742.45	0.107352
